project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,last_evidence_date,evidence_count,raw_value,canonical_name,match_type,match_score,requires_review
ede6b345-de51-440b-a859-7d4f1fc8340a,Residency at the Entrepreneur,1657 NORTH WESTERN AVENUE LOS ANGELES CA 90027,developer,Category,Greystone Housing Impact Investors LP,most_recent_wins_canonicalization_review_required,medium,low,2026-04-01,1,Greystone Housing Impact Investors LP,Greystone Housing Impact Investors LP,new_registry_entry,,true
a058fe91-30bf-4add-8461-58cb72109d69,,1708 WALL STREET LOS ANGELES CA 90015,developer,Category,Garwood Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Garwood Development,Garwood Development,new_registry_entry,,true
fa161e60-a7da-4411-aeb7-2dd3ee358e0b,,1715 WALL STREET LOS ANGELES CA 90015,developer,Category,Garwood Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Garwood Development,Garwood Development,new_registry_entry,,true
b9774afa-4bba-44db-b68d-009697277fa7,,1755 CANYON DRIVE LOS ANGELES CA 90028,developer,Category,Advanced Construction Tech,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Advanced Construction Tech,Advanced Construction Tech,new_registry_entry,,true
a0a84938-f561-49fe-a345-6066e86fe8eb,,1769 NORTH SYCAMORE AVENUE LOS ANGELES CA 90028,developer,Category,The Roberts Companies,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,The Roberts Companies,The Roberts Companies,new_registry_entry,,true
47d50af0-c699-4c30-965d-1b1bba5e6259,,1810 WEST MONTROSE STREET LOS ANGELES CA 90026,developer,Category,4D Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,4D Development,4D Development,new_registry_entry,,true
22628add-53ed-4768-9fc1-bce13c636713,,182 SOUTH VIRGIL AVENUE LOS ANGELES CA 90004,developer,Category,FMB Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,FMB Development,FMB Development,new_registry_entry,,true
84db435f-86b0-4e08-b63f-259bf6a9b30c,Xola,2141 EAST CESAR E CHAVEZ AVENUE LOS ANGELES CA 90033,developer,Category,"Toledo Capital Development, LLC",most_recent_wins_canonicalization_review_required,low,low,2024-11-01,1,"Toledo Capital Development, LLC","Toledo Capital Development, LLC",new_registry_entry,,true
ddc7245f-d106-4ca9-9e1c-fc0c2d3c3b53,The Chelsea,218 WEST 5TH STREET LOS ANGELES CA 90013,developer,Category,Nick Hadim Group of Companies,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Nick Hadim Group of Companies,Nick Hadim Group of Companies,new_registry_entry,,true
c1db5c1c-b06e-458b-acef-5076bdda1f72,,2239 AMHERST AVENUE LOS ANGELES CA 90064,developer,Category,Terra Capital Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Terra Capital Development,Terra Capital Development,new_registry_entry,,true
dbda14ce-4d34-4b70-9500-4b83e21d70b6,Haven on Amherst,2245 AMHERST AVENUE LOS ANGELES CA 90064,developer,Category,HVN Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,HVN Development,HVN Development,new_registry_entry,,true
97e54e43-1b43-434a-853d-83cc1143126d,,2310 OCEAN VIEW AVENUE LOS ANGELES CA 90057,developer,Category,CP3 Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-01,1,CP3 Development,CP3 Development,new_registry_entry,,true
2759d9ff-0fea-438d-a550-65c16935c5d8,,2524 EAST CESAR E CHAVEZ AVENUE LOS ANGELES CA 90033,developer,Category,Abode Communities,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,Abode Communities,Abode Communities,new_registry_entry,,true
6a14fdc0-fc18-453b-8b57-34043dfd4fcf,,259 WEST 85TH STREET LOS ANGELES CA 90003,developer,Category,RMG Housing,most_recent_wins_canonicalization_review_required,low,low,2026-04-07,3,RMG Housing,RMG Housing,new_registry_entry,,true
4dd5fbed-37b8-493c-a389-667c1d6cd98d,3000 Wilshire,3000 WILSHIRE BOULEVARD LOS ANGELES CA 90010,developer,Category,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-04-16,2,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
efafad9b-7807-4539-bbce-624f67984180,Peak Plaza Apartments,316 EAST WASHINGTON BOULEVARD LOS ANGELES CA 90015,developer,Category,Hollywood Community Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,4,Hollywood Community Housing Corporation,Hollywood Community Housing Corporation,new_registry_entry,,true
2bbf0f53-8773-4011-b92f-10d60655bed5,Voltaire Villas,320 JUANITA AVENUE LOS ANGELES CA 90004,developer,Category,The Pacific Companies,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,The Pacific Companies,The Pacific Companies,new_registry_entry,,true
